tag,design_id,competition_id,rank,polarity,statement
phasing,QQQ1,QQQ,1,positive,The planned phases enable seamless school operations.
phasing,SS2,SS,2,positive,The location provides a particularly relevant operational solution by allowing existing facilities to remain in use.
phasing,KKK10,KKK,10,negative,"The connecting portico appears only in the second stage, leaving the system incomplete at first."
phasing,VVV6,VVV,6,negative,"The first stage appears amputated, while the uncertain second stage and possible expansion are constitutive elements of the concept."
urban integration,A1,A,1,positive,The urban design is convincing and works equally well for the first phase and a possible extension.
urban integration,OOOO1,OOOO,1,positive,The building constellation welcomes users and encompasses the open space opening to the southwest.
urban integration,KKKK13,KKKK,13,negative,What is missing is a committed engagement with the landscape and a coherent transition into the large landscape area.
urban integration,KKKK13,KKKK,13,negative,The direct connection to the street leaves it little breathing space as an access road to the district.
layout,A1,A,1,positive,The entrance level continues the outdoor space and is clearly laid out for users and visitors.
layout,M1,M,1,positive,"The outdoor spaces are comprehensibly programmed and harmoniously designed, apart from the entrance square."
layout,KKKK13,KKKK,13,negative,The middle access corridor leaves little scope to create a homely ambience.
layout,LLL10,LLL,10,negative,Many classrooms have unfavorable room shapes based on acoustic criteria.
flexibility,A1,A,1,positive,The urban design is convincing and works equally well for the first phase and a possible extension.
flexibility,P1,P,1,positive,The continuous central room can be ideally used for larger projects and different forms of learning.
flexibility,TT10,TT,10,negative,The proposed extension connected by first-floor walkways is insufficient.
flexibility,TT10,TT,10,negative,The vertical beam arrangement makes flexible use of the spaces difficult.
functionality,A1,A,1,positive,The shed roof supplies uniform north light throughout the day and creates a contemplative learning atmosphere.
functionality,P1,P,1,positive,The low building provides very good orientation for small children.
functionality,KKKK13,KKKK,13,negative,The internal vertical circulation system is complicated and not very user-friendly.
functionality,KKKK13,KKKK,13,negative,The open spaces created in the building are trapped and do not seem suitable for an appropriate stay.
identity,A1,A,1,positive,The striking yet restrained volumetry supports the character of a public building in a residential quarter.
identity,MMMM5,MMMM,1,positive,The project creates a formative and attractive urban space with a clear address.
identity,KKKK13,KKKK,13,negative,The project is more related to the object itself and less concerned with the location.
identity,KKKK13,KKKK,13,negative,The architectural expression and spatial atmosphere appear questionable for a child and adolescent psychiatric clinic.
open space,ZZ1,ZZ,1,positive,"The large, contiguous open space with the trees worth preserving will largely be preserved."
open space,YY1,YY,1,positive,"The compact solution creates generous outdoor spaces for individual uses, and the school complex reads as a unit."
open space,KKKK13,KKKK,13,negative,The transition from the assigned outdoor spaces to the landscape area is difficult.
open space,KKKK13,KKKK,13,negative,The direct connection to the street leaves it little breathing space as an access road to the district.
circulation,A1,A,1,positive,The entrance level continues the outdoor space and is clearly laid out for users and visitors.
circulation,QQ1,QQ,1,positive,The spacious covered forecourt solves the corner entrance situation in a plausible and simple way.
circulation,KKKK13,KKKK,13,negative,The transition from the assigned outdoor spaces to the landscape area is difficult.
circulation,KKKK13,KKKK,13,negative,The direct connection to the street leaves it little breathing space as an access road to the district.
daylight,A1,A,1,positive,The shed roof supplies uniform north light throughout the day and creates a contemplative learning atmosphere.
daylight,QQ1,QQ,1,positive,The atriums form the heart of the building and create a pleasant and liberating learning atmosphere.
daylight,LLL10,LLL,10,negative,The foyers without daylight are not very attractive for visitors.
daylight,KKKK10,KKKK,10,negative,The clinic entrances are lightless corridors and do not have the desired spatial qualities.
expression,XXX1,XXX,1,positive,The existing roof typology is recovered as a strong trademark that gives the new construction personality.
expression,VVV1,VVV,1,positive,The type mediates between commercial-building requirements and a clearly recognizable architectural character.
expression,KKKK13,KKKK,13,negative,The facade expression is hard in the context of child and adolescent psychiatry.
expression,KKKK13,KKKK,13,negative,The middle access corridor leaves little scope to create a homely ambience.
cost,A1,A,1,positive,"The simple geometry, pragmatic construction and moderate resource use support economical construction and operation."
cost,EEEE1,EEEE,1,positive,The simple supporting structure is inexpensive and translates the project-defining open-and-closed sequence into an elegant structural expression.
cost,KKK10,KKK,10,negative,The project is more expensive than the average of the analyzed projects.
cost,LLL9,LLL,9,negative,The above-average glazing creates a relatively high overheating risk and requires substantial technical effort.
operation,NNNN1,NNNN,1,positive,The delivery strategy is handled with great mastery and efficiency.
operation,EE1,EE,1,positive,The clear system of two distinct outdoor spaces allows events and their extensions without disrupting school operation.
operation,KKKK10,KKKK,10,negative,The underground car-park arrangement creates a complex and long tunnel access route.
operation,KKK10,KKK,10,negative,The three-level layout could create problems in supervising student movement and communicating between classrooms.
massing,A1,A,1,positive,The striking yet restrained volumetry supports the character of a public building in a residential quarter.
massing,DDD1,DDD,1,positive,The urban positioning of the two new building volumes and the creation of attractive outdoor spaces are convincing.
massing,KKKK11,KKKK,11,negative,"The system appears incredibly long, and there is no overarching structure that could make it comprehensible."
massing,KKKK11,KKKK,11,negative,The project does not achieve its aim of combining new and existing buildings into an understandable overall complex.
visibility,NN1,NN,1,positive,"The upper floors create an inspiring learning landscape through generous spatial sequences, atriums, daylight, and visual connections."
visibility,EEEE1,EEEE,1,positive,The city archive can be viewed appropriately from the outside.
visibility,TT10,TT,10,negative,The entrance is somewhat hidden behind the multifunctional hall.
visibility,KKKK10,KKKK,10,negative,The actual entrances are not clearly visible from the bus stop and are not accessible for disabled users.
landscape,SS1,SS,1,positive,The diversity of landscape environments results from the relationship between peripheral functions and building identities rather than being forced.
landscape,GGG1,GGG,1,positive,"The forecourt, seating arenas, green areas, and shaded northern spaces create extensive outdoor areas with high stay quality."
landscape,KKKK13,KKKK,13,negative,The limited open space between the clinic and the street is not enough.
landscape,KKKK13,KKKK,13,negative,What is missing is a committed engagement with the landscape and a coherent transition into the large landscape area.
