design_id,competition_id,polarity,statement_index,tag,statement
A1,A,positive,1,urban integration,The urban design is convincing and works equally well for the first phase and a possible extension.
A1,A,positive,1,flexibility,The urban design is convincing and works equally well for the first phase and a possible extension.
A1,A,positive,2,massing,The striking yet restrained volumetry supports the character of a public building in a residential quarter.
A1,A,positive,2,identity,The striking yet restrained volumetry supports the character of a public building in a residential quarter.
A1,A,positive,2,scale,The striking yet restrained volumetry supports the character of a public building in a residential quarter.
A1,A,positive,3,circulation,The entrance level continues the outdoor space and is clearly laid out for users and visitors.
A1,A,positive,3,layout,The entrance level continues the outdoor space and is clearly laid out for users and visitors.
A1,A,positive,4,daylight,The shed roof supplies uniform north light throughout the day and creates a contemplative learning atmosphere.
A1,A,positive,4,functionality,The shed roof supplies uniform north light throughout the day and creates a contemplative learning atmosphere.
A1,A,positive,5,flexibility,The learning pavilion allows flexible school operations through its two wings and four clusters.
A1,A,positive,5,functionality,The learning pavilion allows flexible school operations through its two wings and four clusters.
A1,A,positive,5,layout,The learning pavilion allows flexible school operations through its two wings and four clusters.
A1,A,positive,6,massing,The building achieves an appropriate balance between compactness and development.
A1,A,positive,6,proportion,The building achieves an appropriate balance between compactness and development.
A1,A,positive,7,cost,"The simple geometry, pragmatic construction and moderate resource use support economical construction and operation."
A1,A,positive,7,sustainability,"The simple geometry, pragmatic construction and moderate resource use support economical construction and operation."
A1,A,positive,8,identity,The project develops a place with a strong identity of its own and implements learning landscapes without compromise.
A1,A,positive,8,layout,The project develops a place with a strong identity of its own and implements learning landscapes without compromise.
A1,A,positive,8,functionality,The project develops a place with a strong identity of its own and implements learning landscapes without compromise.
A1,A,negative,1,open space,"The detailed formulation, particularly of a covered outdoor space, requires further development."
A1,A,negative,1,landscape,"The detailed formulation, particularly of a covered outdoor space, requires further development."
A1,A,negative,2,fire safety,"The spatial relationships require more in-depth consideration regarding fire compartments, entrance and foyer space, and mobile partitions."
A1,A,negative,2,functionality,"The spatial relationships require more in-depth consideration regarding fire compartments, entrance and foyer space, and mobile partitions."
A1,A,negative,2,acoustics,"The spatial relationships require more in-depth consideration regarding fire compartments, entrance and foyer space, and mobile partitions."
A1,A,negative,3,fire safety,The function of the three escape staircases integrated into the building corners is not yet entirely clear.
A1,A,negative,3,circulation,The function of the three escape staircases integrated into the building corners is not yet entirely clear.
A1,A,negative,4,layout,Further work is needed to determine the appropriate degree of transparency and the possible use of closed walls or furniture as room dividers.
A1,A,negative,4,privacy,Further work is needed to determine the appropriate degree of transparency and the possible use of closed walls or furniture as room dividers.
A1,A,negative,4,flexibility,Further work is needed to determine the appropriate degree of transparency and the possible use of closed walls or furniture as room dividers.
A1,A,negative,5,functionality,The arrangement and interrelationships of functional areas and media distribution are generally neglected.
A1,A,negative,5,circulation,The arrangement and interrelationships of functional areas and media distribution are generally neglected.
A2,A,positive,1,circulation,The two offset compact structures create a clear entrance situation through their recessed entrance façades and connecting passerelle.
A2,A,positive,1,massing,The two offset compact structures create a clear entrance situation through their recessed entrance façades and connecting passerelle.
A2,A,positive,2,topography,"The different site levels, varied open spaces and tree edging form an interesting composition."
A2,A,positive,2,open space,"The different site levels, varied open spaces and tree edging form an interesting composition."
A2,A,positive,2,landscape,"The different site levels, varied open spaces and tree edging form an interesting composition."
A2,A,positive,3,layout,"The school-area floor plans are clear, precise and in line with the requirements."
A2,A,positive,3,functionality,"The school-area floor plans are clear, precise and in line with the requirements."
A2,A,positive,4,layout,The central zone opening over two storeys provides a high-quality place for students to spend time.
A2,A,positive,4,functionality,The central zone opening over two storeys provides a high-quality place for students to spend time.
A2,A,positive,5,flexibility,"The flexible building structure, with load-bearing walls reduced to a minimum, allows maximum flexibility."
A2,A,positive,5,structure,"The flexible building structure, with load-bearing walls reduced to a minimum, allows maximum flexibility."
A2,A,positive,6,fire safety,The fire-protection and building-services concepts are developed logically in line with the project.
A2,A,positive,6,operation,The fire-protection and building-services concepts are developed logically in line with the project.
A2,A,negative,1,urban integration,The lower sports area does not achieve the same quality and clarity in its integration into the site and accessibility.
A2,A,negative,1,accessibility,The lower sports area does not achieve the same quality and clarity in its integration into the site and accessibility.
A2,A,negative,1,circulation,The lower sports area does not achieve the same quality and clarity in its integration into the site and accessibility.
A2,A,negative,2,scale,The running track and playing field appear too monumental.
A2,A,negative,2,open space,The running track and playing field appear too monumental.
A2,A,negative,3,urban integration,The placement of the two buildings on the site is not completely clear and convincing.
A2,A,negative,3,massing,The placement of the two buildings on the site is not completely clear and convincing.
A2,A,negative,4,layout,The basement floors of the sports area have only limited spatial qualities.
A2,A,negative,4,functionality,The basement floors of the sports area have only limited spatial qualities.
A2,A,negative,5,structure,The load transfer in the east building is considered complex.
A2,A,negative,6,functionality,The floor-to-ceiling glazing makes it difficult to use the façades for workplaces.
A2,A,negative,6,facade,The floor-to-ceiling glazing makes it difficult to use the façades for workplaces.
A2,A,negative,7,functionality,The integrated group rooms can only be used or furnished to a limited extent because of the floor-plan geometry.
A2,A,negative,7,layout,The integrated group rooms can only be used or furnished to a limited extent because of the floor-plan geometry.
A2,A,negative,8,massing,The jury has doubts about extending the building with a third separate structure.
A2,A,negative,8,flexibility,The jury has doubts about extending the building with a third separate structure.
A3,A,positive,1,urban integration,A park-like space with play and recreation facilities mediates between the neighbourhood and the school complex.
A3,A,positive,2,open space,The open-space concept is carefully worked out and demonstrates a good understanding of pupils' needs.
A3,A,positive,3,accessibility,The gradation of levels allows ideal connections and accessibility from all sides.
A3,A,positive,4,circulation,External escape routes create a light and playful outer layer mediating between interior and exterior.
A3,A,positive,4,layout,External escape routes create a light and playful outer layer mediating between interior and exterior.
A3,A,positive,5,daylight,Three spacious patios bring plenty of daylight to the classroom level.
A3,A,positive,6,layout,The patios and outdoor workspaces form an exciting learning landscape of heated and unheated rooms.
A3,A,positive,6,functionality,The patios and outdoor workspaces form an exciting learning landscape of heated and unheated rooms.
A3,A,positive,7,daylight,"The top-lit assembly hall and connecting staircase create an interesting, versatile centre."
A3,A,positive,7,flexibility,"The top-lit assembly hall and connecting staircase create an interesting, versatile centre."
A3,A,positive,8,visibility,"The visual relationship between the gymnasium and auditorium is an independent, pedagogically valuable idea."
A3,A,positive,9,identity,"The bipolar centre gives the school a strong, unmistakable identity."
A3,A,negative,1,scale,The striking jump in height and monumental staircase are not convincing.
A3,A,negative,2,functionality,Expansion of the car and bicycle parking spaces is not shown.
A3,A,negative,3,cost,The third gymnasium beneath the all-weather pitch is unrealistically expensive and unsuitable in lighting terms.
A3,A,negative,3,daylight,The third gymnasium beneath the all-weather pitch is unrealistically expensive and unsuitable in lighting terms.
A3,A,negative,4,expression,The light escape layer contrasts irritably with the heavy concrete hall structures.
A3,A,negative,5,layout,"Classrooms and group rooms are furnished stereotypically, so forward-looking learning is neither simulated nor stimulated."
A3,A,negative,5,functionality,"Classrooms and group rooms are furnished stereotypically, so forward-looking learning is neither simulated nor stimulated."
A3,A,negative,6,daylight,The centre idea sacrifices natural lighting and ventilation of the gymnasium.
A3,A,negative,6,ventilation,The centre idea sacrifices natural lighting and ventilation of the gymnasium.
A3,A,negative,7,functionality,Fully glazed exterior walls are disadvantageous for furnishing classrooms and special rooms.
A3,A,negative,8,functionality,"Toilet facilities are few, and an outdoor equipment room and teacher teamwork rooms are missing."
A3,A,negative,9,accessibility,Access to the roofscape is not proposed.
A3,A,negative,10,fire safety,Escape routes in the eastern ground-floor area remain unresolved.
A3,A,negative,11,functionality,"Some required rooms are missing or too small, and access and technical rooms are potentially undersized."
A3,A,negative,12,facade,The described building services would significantly change the architectural expression.
A3,A,negative,13,sustainability,The very large roof area would probably need greening together with photovoltaics.
A4,A,positive,1,urban integration,The two volumes are clearly positioned in format and size as a school building and gymnasium.
A4,A,positive,2,urban integration,Loosely scattered trees convincingly mediate between the neighbourhood scale and the buildings.
A4,A,positive,3,open space,The tree-lined peripheral areas provide sufficient space for recreation and play.
A4,A,positive,4,landscape,Embankments and steps coherently structure the site and terrace the outdoor areas.
A4,A,positive,5,topography,The pragmatic simplicity of the handling of space and topography is convincing.
A4,A,positive,6,circulation,"The two-storey vestibule, assembly hall and media library create an attractive entrance sequence."
A4,A,positive,7,daylight,Open staircases and adjoining atriums create exciting views and changes of light.
A4,A,positive,8,flexibility,A clear grid enables a clear and flexible layout of the school rooms.
